time,open,high,low,close,volume
2021-12-09 20:00:00,466.58,466.58,466.46,466.53,9929
2021-12-09 19:55:00,466.6,466.62,466.55,466.6,1302
2021-12-09 19:50:00,466.75,466.78,466.58,466.58,1091
2021-12-09 19:45:00,466.72,466.73,466.63,466.73,1867
2021-12-09 19:40:00,466.79,466.79,466.79,466.79,1401
2021-12-09 19:35:00,466.72,466.72,466.7,466.72,1207
2021-12-09 19:30:00,466.93,466.93,466.9,466.9,2392
2021-12-09 19:25:00,466.85,466.94,466.85,466.94,2275
2021-12-09 19:20:00,467.03,467.1,466.85,466.85,12170
2021-12-09 19:15:00,466.74,467.07,466.74,467.07,7840
2021-12-09 19:10:00,466.74,466.75,466.65,466.65,1134
2021-12-09 19:05:00,467.04,467.04,466.72,466.72,4867
2021-12-09 19:00:00,467.03,467.03,466.97,466.97,1174
2021-12-09 18:55:00,466.94,467.04,466.94,467.04,316
2021-12-09 18:50:00,467.1499,467.1499,467.04,467.07,3896
2021-12-09 18:45:00,467.14,467.16,467.12,467.16,2762
2021-12-09 18:40:00,467.1,467.18,467.08,467.18,1821
2021-12-09 18:35:00,466.91,467.16,466.91,467.16,5222
2021-12-09 18:30:00,466.91,466.91,466.88,466.91,542
2021-12-09 18:25:00,466.91,466.91,466.91,466.91,320
2021-12-09 18:20:00,466.97,467.04,466.97,466.98,4062
2021-12-09 18:15:00,466.98,466.99,466.95,466.97,4889
2021-12-09 18:10:00,466.86,466.97,466.85,466.97,4522
2021-12-09 18:05:00,466.66,466.9,466.58,466.87,16050
2021-12-09 18:00:00,466.7,466.7,466.68,466.68,3654
2021-12-09 17:55:00,466.73,466.73,466.67,466.7,6478
2021-12-09 17:50:00,466.83,466.85,466.74,466.74,9927
2021-12-09 17:45:00,466.69,466.83,466.68,466.82,26974
2021-12-09 17:40:00,466.69,466.7,466.69,466.7,16265
2021-12-09 17:35:00,466.68,466.69,466.68,466.68,1018
2021-12-09 17:30:00,466.64,466.68,466.63,466.68,2411
2021-12-09 17:25:00,466.68,466.71,466.64,466.71,19751
2021-12-09 17:20:00,466.68,466.69,466.59,466.68,407937
2021-12-09 17:15:00,466.54,466.69,466.54,466.6,16670
2021-12-09 17:10:00,466.53,466.54,466.45,466.47,4370
2021-12-09 17:05:00,466.5,466.54,466.45,466.54,2774
2021-12-09 17:00:00,466.54,466.58,466.35,466.51,7831
2021-12-09 16:55:00,466.52,466.54,466.47,466.52,15071
2021-12-09 16:50:00,466.3,466.51,466.29,466.51,16023
2021-12-09 16:45:00,466.4,466.44,466.3399,466.35,29383
2021-12-09 16:40:00,466.39,466.41,466.34,466.37,43056
2021-12-09 16:35:00,466.43,466.51,466.31,466.39,29001
2021-12-09 16:30:00,466.17,466.52,466.17,466.5,61209
2021-12-09 16:25:00,466.08,466.2,466.07,466.2,69781
2021-12-09 16:20:00,466.15,466.35,466.05,466.09,80240
2021-12-09 16:15:00,465.92,466.16,465.92,466.15,159961
2021-12-09 16:10:00,466.18,466.35,465.9,465.93,1356586
2021-12-09 16:05:00,466.34,466.53,466.15,466.18,679580
2021-12-09 16:00:00,466.96,467.07,466.14,466.33,5383189
2021-12-09 15:55:00,467.46,467.55,466.9,466.95,2345498
2021-12-09 15:50:00,467.34,467.69,467.14,467.47,1112190
2021-12-09 15:45:00,467.11,467.58,466.95,467.33,934036
2021-12-09 15:40:00,466.98,467.31,466.76,467.0999,759044
2021-12-09 15:35:00,466.81,467.29,466.73,466.97,943982
2021-12-09 15:30:00,466.44,467.09,466.31,466.81,941895
2021-12-09 15:25:00,466.88,466.99,466.43,466.43,1200094
2021-12-09 15:20:00,466.87,467.09,466.65,466.88,1431989
2021-12-09 15:15:00,466.98,467.31,466.64,466.87,1431064
2021-12-09 15:10:00,467.61,467.66,466.98,466.98,765005
2021-12-09 15:05:00,467.45,468.01,467.34,467.6067,822523
2021-12-09 15:00:00,467.51,467.59,467.17,467.45,567954
2021-12-09 14:55:00,467.77,467.83,467.405,467.51,1932719
2021-12-09 14:50:00,467.84,467.91,467.68,467.7475,381692
2021-12-09 14:45:00,468.0,468.08,467.66,467.82,484058
2021-12-09 14:40:00,468.05,468.16,467.85,468.01,462655
2021-12-09 14:35:00,468.11,468.25,467.92,468.07,515509
2021-12-09 14:30:00,468.65,468.6615,468.02,468.11,419513
2021-12-09 14:25:00,468.34,468.71,468.31,468.645,559768
2021-12-09 14:20:00,468.21,468.44,468.07,468.35,582648
2021-12-09 14:15:00,468.41,468.53,468.041,468.21,1189327
2021-12-09 14:10:00,468.4,468.6,468.3,468.4099,395131
2021-12-09 14:05:00,468.44,468.63,468.34,468.405,560629
2021-12-09 14:00:00,468.21,468.67,468.18,468.45,370449
2021-12-09 13:55:00,468.07,469.6291,467.91,468.2,746944
2021-12-09 13:50:00,468.42,468.61,468.03,468.06,1162700
2021-12-09 13:45:00,469.01,469.01,468.38,468.4,586388
2021-12-09 13:40:00,468.77,469.11,468.68,469.02,320989
2021-12-09 13:35:00,468.51,468.82,468.46,468.76,810013
2021-12-09 13:30:00,468.54,468.64,468.43,468.51,232682
2021-12-09 13:25:00,468.83,468.83,468.5,468.53,270595
2021-12-09 13:20:00,468.7,468.93,468.69,468.82,295519
2021-12-09 13:15:00,468.67,468.815,468.5496,468.69,296977
2021-12-09 13:10:00,468.705,468.92,468.65,468.66,410166
2021-12-09 13:05:00,468.94,468.94,468.48,468.6895,660333
2021-12-09 13:00:00,468.89,469.0,468.68,468.945,314214
2021-12-09 12:55:00,468.78,468.97,468.75,468.88,770724
2021-12-09 12:50:00,468.6,468.835,468.51,468.79,319246
2021-12-09 12:45:00,468.56,468.7001,468.43,468.59,414591
2021-12-09 12:40:00,468.19,468.6065,468.19,468.57,332891
2021-12-09 12:35:00,468.115,468.275,468.01,468.19,346844
2021-12-09 12:30:00,468.352,468.36,468.1,468.115,278840
2021-12-09 12:25:00,467.96,468.37,467.92,468.35,276656
2021-12-09 12:20:00,468.13,468.25,467.93,467.95,852884
2021-12-09 12:15:00,467.99,468.19,467.87,468.15,286319
2021-12-09 12:10:00,467.8,468.03,467.66,468.01,344669
2021-12-09 12:05:00,467.95,468.1999,467.71,467.78,344130
2021-12-09 12:00:00,468.08,468.17,467.76,467.96,482766
2021-12-09 11:55:00,467.93,468.18,467.9,468.05,468961
2021-12-09 11:50:00,468.32,468.32,467.87,467.92,325841
2021-12-09 11:45:00,468.43,468.5,468.25,468.32,209278
2021-12-09 11:40:00,468.56,468.59,468.33,468.42,388245
2021-12-09 11:35:00,468.6,468.86,468.53,468.55,641031
2021-12-09 11:30:00,468.435,468.65,468.39,468.595,371213
2021-12-09 11:25:00,467.945,468.45,467.76,468.43,373528
2021-12-09 11:20:00,467.92,467.98,467.58,467.93,459194
2021-12-09 11:15:00,468.21,468.31,467.85,467.92,483479
2021-12-09 11:10:00,467.875,468.24,467.86,468.213,360768
2021-12-09 11:05:00,468.22,468.34,467.84,467.87,460466
2021-12-09 11:00:00,468.11,468.3,468.02,468.21,311197
2021-12-09 10:55:00,468.14,468.195,467.83,468.12,431258
2021-12-09 10:50:00,467.81,468.2257,467.765,468.15,587265
2021-12-09 10:45:00,467.31,467.875,467.16,467.8,766554
2021-12-09 10:40:00,467.44,467.6,467.06,467.34,653816
2021-12-09 10:35:00,467.53,467.8,467.16,467.44,759526
2021-12-09 10:30:00,467.91,468.13,467.5,467.526,581194
2021-12-09 10:25:00,468.51,468.71,467.86,467.91,565510
2021-12-09 10:20:00,468.35,468.625,468.26,468.51,674630
2021-12-09 10:15:00,468.39,468.61,468.19,468.34,392739
2021-12-09 10:10:00,468.73,468.755,468.1,468.37,591342
2021-12-09 10:05:00,468.26,468.815,468.04,468.73,646535
2021-12-09 10:00:00,468.375,468.4,467.82,468.26,870804
2021-12-09 09:55:00,468.31,468.5701,468.06,468.3799,762280
2021-12-09 09:50:00,468.72,468.98,468.25,468.3,759716
2021-12-09 09:45:00,468.88,468.96,468.51,468.6997,758673
2021-12-09 09:40:00,468.73,469.07,468.575,468.88,965963
2021-12-09 09:35:00,468.15,468.725,467.9101,468.725,1775722
2021-12-09 09:30:00,468.14,468.24,468.1,468.12,102452
2021-12-09 09:25:00,468.34,468.35,468.04,468.12,37472
2021-12-09 09:20:00,468.21,468.39,468.21,468.3,24547
2021-12-09 09:15:00,468.22,468.29,468.15,468.19,24698
2021-12-09 09:10:00,468.08,468.19,468.01,468.17,21948
2021-12-09 09:05:00,467.96,468.18,467.96,468.11,50419
2021-12-09 09:00:00,467.9,467.97,467.81,467.92,33483
2021-12-09 08:55:00,467.95,468.05,467.89,467.89,55363
2021-12-09 08:50:00,467.98,468.1,467.93,467.95,37561
2021-12-09 08:45:00,467.83,467.99,467.81,467.9899,22867
2021-12-09 08:40:00,467.54,467.84,467.5,467.78,55087
2021-12-09 08:35:00,467.84,467.95,467.45,467.5,49408
2021-12-09 08:30:00,467.67,467.83,467.57,467.74,27689
2021-12-09 08:25:00,467.95,467.95,467.58,467.63,44346
2021-12-09 08:20:00,467.74,467.96,467.74,467.89,28682
2021-12-09 08:15:00,468.05,468.09,467.7,467.74,44157
2021-12-09 08:10:00,468.13,468.16,468.06,468.06,23222
2021-12-09 08:05:00,468.25,469.872,467.8204,468.13,56348
2021-12-09 08:00:00,468.09,468.34,468.06,468.21,11140
2021-12-09 07:55:00,468.08,468.08,467.99,468.05,23802
2021-12-09 07:50:00,468.18,468.2,468.02,468.07,18524
2021-12-09 07:45:00,468.28,468.29,468.16,468.21,12953
2021-12-09 07:40:00,468.26,468.27,468.16,468.27,7420
2021-12-09 07:35:00,468.26,468.32,468.25,468.25,6552
2021-12-09 07:30:00,468.3,468.35,468.2,468.22,6907
2021-12-09 07:25:00,468.48,468.48,468.3,468.3,6601
2021-12-09 07:20:00,468.29,468.51,468.29,468.49,17155
2021-12-09 07:15:00,468.24,468.29,468.09,468.18,17622
2021-12-09 07:10:00,468.11,468.28,468.11,468.2,18306
2021-12-09 07:05:00,468.0,468.15,467.95,468.15,17847
2021-12-09 07:00:00,467.84,467.93,467.81,467.93,467
2021-12-09 06:55:00,467.71,467.72,467.61,467.63,4767
2021-12-09 06:50:00,467.95,467.95,467.75,467.75,5599
2021-12-09 06:45:00,467.96,467.96,467.81,467.85,4630
2021-12-09 06:40:00,468.21,468.21,467.97,467.97,3297
2021-12-09 06:35:00,468.04,468.19,468.04,468.17,5613
2021-12-09 06:30:00,467.91,468.03,467.86,468.03,3682
2021-12-09 06:25:00,467.94,468.0,467.9,467.9,4161
2021-12-09 06:20:00,467.54,467.85,467.54,467.85,8576
2021-12-09 06:15:00,467.9,467.9,467.5,467.56,4076
