time,open,high,low,close,volume
2021-01-13 20:00:00,380.75,380.75,380.68,380.7,11454
2021-01-13 19:55:00,380.71,380.77,380.71,380.75,2571
2021-01-13 19:50:00,380.77,380.82,380.72,380.72,11517
2021-01-13 19:45:00,380.77,380.79,380.72,380.77,3894
2021-01-13 19:40:00,380.65,380.65,380.63,380.63,697
2021-01-13 19:35:00,380.74,380.74,380.65,380.65,1053
2021-01-13 19:30:00,380.69,380.74,380.61,380.61,9895
2021-01-13 19:25:00,380.7,380.7,380.62,380.62,3001
2021-01-13 19:20:00,380.53,380.72,380.53,380.72,6428
2021-01-13 19:15:00,380.46,380.53,380.43,380.43,6047
2021-01-13 19:10:00,380.32,380.46,380.25,380.46,1371
2021-01-13 19:05:00,380.18,380.34,380.09,380.34,6894
2021-01-13 19:00:00,380.2,380.24,380.19,380.19,5420
2021-01-13 18:55:00,380.2,380.31,380.2,380.2,17398
2021-01-13 18:50:00,380.31,380.31,380.21,380.21,3220
2021-01-13 18:45:00,380.4,380.4,380.21,380.34,26004
2021-01-13 18:40:00,380.43,380.46,380.37,380.37,7653
2021-01-13 18:35:00,380.35,380.38,380.32,380.32,8653
2021-01-13 18:30:00,380.45,380.49,380.36,380.36,4351
2021-01-13 18:25:00,380.42,380.47,380.39,380.41,10977
2021-01-13 18:20:00,380.48,380.51,380.45,380.5,6071
2021-01-13 18:15:00,380.41,380.65,380.4,380.53,42652
2021-01-13 18:10:00,380.3,380.36,380.27,380.36,15238
2021-01-13 18:05:00,380.53,380.53,380.2,380.24,92141
2021-01-13 18:00:00,380.44,380.54,380.42,380.54,6581
2021-01-13 17:55:00,380.5,380.5,380.44,380.46,6574
2021-01-13 17:50:00,380.48,380.51,380.48,380.5,2484
2021-01-13 17:45:00,380.49,380.54,380.46,380.51,4576
2021-01-13 17:40:00,380.62,380.62,380.49,380.5,6162
2021-01-13 17:35:00,380.69,380.7,380.6,380.62,15092
2021-01-13 17:30:00,380.68,380.7,380.64,380.7,19220
2021-01-13 17:25:00,380.6,380.69,380.6,380.6799,21440
2021-01-13 17:20:00,380.54,380.61,380.53,380.6,13126
2021-01-13 17:15:00,380.55,380.64,380.5,380.56,68326
2021-01-13 17:10:00,380.3998,380.6,380.28,380.56,102153
2021-01-13 17:05:00,380.15,380.39,380.05,380.39,44990
2021-01-13 17:00:00,380.08,380.09,380.05,380.07,3502
2021-01-13 16:55:00,380.17,380.17,380.1,380.11,45214
2021-01-13 16:50:00,380.07,380.17,380.0,380.17,31940
2021-01-13 16:45:00,380.14,380.14,380.0,380.0,35314
2021-01-13 16:40:00,380.2,380.2,380.12,380.15,22661
2021-01-13 16:35:00,380.04,380.2,380.02,380.2,30055
2021-01-13 16:30:00,380.02,380.06,379.99,380.04,67455
2021-01-13 16:25:00,380.0,380.1002,379.79,380.05,83383
2021-01-13 16:20:00,380.06,380.08,380.0,380.02,17487
2021-01-13 16:15:00,380.03,380.23,379.7286,380.11,2537655
2021-01-13 16:10:00,380.08,380.14,379.94,380.0,202742
2021-01-13 16:05:00,379.76,380.09,379.66,380.09,1510041
2021-01-13 16:00:00,380.01,380.13,379.75,379.76,3077172
2021-01-13 15:55:00,380.3,380.36,379.95,380.0,1378617
2021-01-13 15:50:00,380.21,380.36,380.17,380.3,878264
2021-01-13 15:45:00,380.02,380.33,380.01,380.21,1057706
2021-01-13 15:40:00,380.06,380.065,379.77,380.0299,601890
2021-01-13 15:35:00,379.755,380.09,379.61,380.0601,817667
2021-01-13 15:30:00,379.97,379.97,379.71,379.76,548074
2021-01-13 15:25:00,380.07,380.085,379.86,379.96,677329
2021-01-13 15:20:00,380.19,380.2,380.04,380.07,313981
2021-01-13 15:15:00,380.045,380.2925,380.03,380.19,511117
2021-01-13 15:10:00,380.27,380.32,379.96,380.05,616400
2021-01-13 15:05:00,380.3844,380.53,380.25,380.26,374789
2021-01-13 15:00:00,380.375,380.44,380.11,380.385,448515
2021-01-13 14:55:00,380.365,380.49,380.35,380.37,250849
2021-01-13 14:50:00,380.29,380.445,380.27,380.36,314074
2021-01-13 14:45:00,380.74,380.84,380.29,380.29,401312
2021-01-13 14:40:00,380.8001,380.82,380.64,380.73,393636
2021-01-13 14:35:00,380.77,380.85,380.69,380.8,422804
2021-01-13 14:30:00,380.72,380.79,380.68,380.77,285764
2021-01-13 14:25:00,380.79,380.79,380.53,380.71,354778
2021-01-13 14:20:00,380.775,380.86,380.7,380.7701,440509
2021-01-13 14:15:00,380.69,380.79,380.51,380.775,398905
2021-01-13 14:10:00,380.54,380.69,380.31,380.69,342660
2021-01-13 14:05:00,380.24,380.7,379.87,380.54,1508544
2021-01-13 14:00:00,380.11,380.2799,380.09,380.243,153377
2021-01-13 13:55:00,380.14,380.19,380.05,380.115,245280
2021-01-13 13:50:00,380.2,380.24,380.07,380.14,174716
2021-01-13 13:45:00,380.32,380.32,380.04,380.21,244143
2021-01-13 13:40:00,380.1999,380.37,380.14,380.3299,196680
2021-01-13 13:35:00,380.2181,380.25,380.15,380.195,111368
2021-01-13 13:30:00,380.2181,380.29,380.12,380.2199,200889
2021-01-13 13:25:00,380.2669,380.29,380.17,380.2199,210989
2021-01-13 13:20:00,380.24,380.36,380.22,380.265,255794
2021-01-13 13:15:00,380.08,380.25,380.05,380.24,165629
2021-01-13 13:10:00,380.18,380.24,379.97,380.09,215335
2021-01-13 13:05:00,380.11,380.235,379.94,380.1825,309751
2021-01-13 13:00:00,380.28,380.35,380.08,380.1102,257953
2021-01-13 12:55:00,380.01,380.32,379.965,380.2799,998474
2021-01-13 12:50:00,379.84,380.06,379.84,380.001,359887
2021-01-13 12:45:00,379.735,379.85,379.65,379.85,362303
2021-01-13 12:40:00,379.415,379.74,379.35,379.73,324168
2021-01-13 12:35:00,379.65,379.71,379.36,379.42,231048
2021-01-13 12:30:00,379.185,379.68,379.09,379.6569,461882
2021-01-13 12:25:00,379.1912,379.29,379.15,379.1899,203160
2021-01-13 12:20:00,379.1741,379.319,379.14,379.195,262612
2021-01-13 12:15:00,379.1788,379.3599,379.14,379.175,335230
2021-01-13 12:10:00,379.29,379.36,379.17,379.18,427567
2021-01-13 12:05:00,379.62,379.63,379.27,379.29,234070
2021-01-13 12:00:00,379.495,379.66,379.46,379.59,223933
2021-01-13 11:55:00,379.6727,379.7,379.42,379.4801,211417
2021-01-13 11:50:00,379.845,379.85,379.65,379.69,139647
2021-01-13 11:45:00,379.73,379.88,379.71,379.841,456181
2021-01-13 11:40:00,379.6289,379.74,379.56,379.74,197233
2021-01-13 11:35:00,379.645,379.72,379.48,379.62,272073
2021-01-13 11:30:00,379.615,379.84,379.6,379.65,325949
2021-01-13 11:25:00,379.31,379.6289,379.3,379.6199,234295
2021-01-13 11:20:00,379.38,379.43,379.23,379.315,268867
2021-01-13 11:15:00,379.5699,379.5699,379.22,379.38,282525
2021-01-13 11:10:00,379.41,379.59,379.4097,379.5672,180397
2021-01-13 11:05:00,379.745,379.94,379.33,379.4168,632822
2021-01-13 11:00:00,379.715,379.79,379.59,379.75,1080302
2021-01-13 10:55:00,379.54,379.76,379.44,379.715,879226
2021-01-13 10:50:00,379.41,379.54,379.4,379.535,320757
2021-01-13 10:45:00,379.43,379.53,379.31,379.41,302130
2021-01-13 10:40:00,379.245,379.47,379.245,379.425,353669
2021-01-13 10:35:00,379.2689,379.35,379.16,379.245,543895
2021-01-13 10:30:00,379.155,379.31,379.12,379.26,358090
2021-01-13 10:25:00,379.06,379.2334,378.94,379.14,336830
2021-01-13 10:20:00,378.755,379.22,378.69,379.07,401348
2021-01-13 10:15:00,378.61,378.97,378.56,378.7519,615292
2021-01-13 10:10:00,377.915,378.64,377.85,378.586,1010223
2021-01-13 10:05:00,378.8401,379.04,377.911,377.915,1163660
2021-01-13 10:00:00,378.95,379.01,378.7501,378.848,420309
2021-01-13 09:55:00,378.85,379.14,378.8,378.9439,736151
2021-01-13 09:50:00,378.595,379.0,378.58,378.845,638523
2021-01-13 09:45:00,378.81,379.03,378.565,378.59,433136
2021-01-13 09:40:00,379.21,379.29,378.71,378.805,633302
2021-01-13 09:35:00,378.69,379.21,378.65,379.21,1173610
2021-01-13 09:30:00,378.48,378.7,378.48,378.7,46403
2021-01-13 09:25:00,378.54,378.54,378.44,378.46,31262
2021-01-13 09:20:00,378.49,378.62,378.48,378.55,21993
2021-01-13 09:15:00,378.5102,378.59,378.48,378.52,64724
2021-01-13 09:10:00,378.35,378.55,378.35,378.54,53960
2021-01-13 09:05:00,378.3,378.35,378.24,378.35,39771
2021-01-13 09:00:00,378.24,378.32,378.21,378.32,9216
2021-01-13 08:55:00,378.15,378.32,378.15,378.22,13744
2021-01-13 08:50:00,378.24,378.25,378.15,378.21,14010
2021-01-13 08:45:00,378.21,378.36,378.21,378.2699,19260
2021-01-13 08:40:00,378.18,378.25,378.09,378.25,48146
2021-01-13 08:35:00,378.05,378.3,378.05,378.23,168963
2021-01-13 08:30:00,377.9,378.01,377.9,377.96,29748
2021-01-13 08:25:00,377.75,377.94,377.75,377.9,78693
2021-01-13 08:20:00,377.56,377.82,377.53,377.78,8375
2021-01-13 08:15:00,377.6,377.61,377.52,377.568,10177
2021-01-13 08:10:00,377.55,377.64,377.51,377.51,13259
2021-01-13 08:05:00,377.56,379.45,377.38,377.59,37080
2021-01-13 08:00:00,377.5,377.64,377.25,377.53,35286
2021-01-13 07:55:00,378.01,378.01,377.44,377.51,47197
2021-01-13 07:50:00,378.03,378.11,377.95,378.02,15174
2021-01-13 07:45:00,377.69,378.0,377.69,377.94,13782
2021-01-13 07:40:00,377.67,377.74,377.46,377.69,51520
2021-01-13 07:35:00,378.07,378.07,377.42,377.75,95168
2021-01-13 07:30:00,378.16,378.16,377.75,378.0,37552
2021-01-13 07:25:00,377.92,378.17,377.92,378.14,24670
2021-01-13 07:20:00,378.05,378.18,377.92,377.95,66786
2021-01-13 07:15:00,378.35,378.5,378.06,378.06,21666
2021-01-13 07:10:00,378.49,378.59,378.44,378.44,23299
2021-01-13 07:05:00,378.46,378.51,378.42,378.48,10710
2021-01-13 07:00:00,378.59,378.59,378.4,378.4,300
2021-01-13 06:55:00,378.6,378.6,378.58,378.6,2225
2021-01-13 06:50:00,378.6,378.69,378.55,378.6,3162
2021-01-13 06:45:00,378.43,378.49,378.36,378.49,2005
2021-01-13 06:40:00,378.43,378.43,378.43,378.43,175
2021-01-13 06:35:00,378.28,378.41,377.9,378.41,9039
2021-01-13 06:30:00,378.53,378.53,378.22,378.22,3082
2021-01-13 06:25:00,378.77,378.77,378.42,378.55,1822
2021-01-13 06:20:00,378.74,378.83,378.74,378.83,831
2021-01-13 06:15:00,378.76,378.76,378.72,378.75,1360
2021-01-13 06:10:00,378.64,378.75,378.58,378.7,2745
2021-01-13 06:05:00,378.75,378.8,378.7,378.7,2000
2021-01-13 06:00:00,378.77,378.77,378.68,378.73,1321
2021-01-13 05:55:00,378.75,378.82,378.75,378.77,1799
2021-01-13 05:50:00,378.55,378.66,378.5,378.66,3284
2021-01-13 05:45:00,378.48,378.6,378.48,378.59,1186
2021-01-13 05:40:00,378.38,378.52,378.23,378.35,10387
