time,open,high,low,close,volume
2022-05-06 20:00:00,410.25,411.0,410.25,410.7,20423
2022-05-06 19:55:00,410.41,410.41,410.3,410.3,18316
2022-05-06 19:50:00,410.5,410.5,410.45,410.5,2127
2022-05-06 19:45:00,410.52,410.52,410.52,410.52,509
2022-05-06 19:40:00,410.52,410.52,410.52,410.52,250
2022-05-06 19:30:00,410.78,410.78,410.68,410.68,5403
2022-05-06 19:25:00,410.75,410.78,410.7,410.7,2392
2022-05-06 19:15:00,410.62,410.8,410.62,410.8,2149
2022-05-06 19:10:00,410.6,410.62,410.6,410.62,9922
2022-05-06 19:05:00,410.64,410.64,410.55,410.55,940
2022-05-06 19:00:00,410.65,410.67,410.6,410.67,1419
2022-05-06 18:55:00,410.71,410.71,410.6,410.6,1423
2022-05-06 18:50:00,410.5,410.89,410.5,410.89,6354
2022-05-06 18:45:00,410.57,410.59,410.55,410.55,11753
2022-05-06 18:40:00,410.43,410.55,410.31,410.55,6815
2022-05-06 18:35:00,410.57,410.57,410.5,410.5,3295
2022-05-06 18:25:00,410.5,410.5,410.4,410.4,2347
2022-05-06 18:20:00,410.51,410.51,410.5,410.5,525
2022-05-06 18:15:00,410.69,410.69,410.6,410.6,489
2022-05-06 18:10:00,410.69,410.69,410.46,410.6,571
2022-05-06 18:05:00,410.6,410.6,410.47,410.47,4220
2022-05-06 18:00:00,410.54,410.55,410.51,410.51,2521
2022-05-06 17:55:00,410.6,410.7,410.53,410.55,6770
2022-05-06 17:50:00,410.77,410.77,410.59,410.61,3829
2022-05-06 17:45:00,410.85,410.87,410.77,410.77,619
2022-05-06 17:40:00,410.76,410.95,410.76,410.88,8926
2022-05-06 17:35:00,410.8,410.8,410.62,410.63,12199
2022-05-06 17:30:00,410.71,410.8,410.71,410.78,3333
2022-05-06 17:25:00,410.97,411.34,410.6,410.94,1624296
2022-05-06 17:20:00,410.9,411.34,410.85,410.91,18059
2022-05-06 17:15:00,410.59,411.34,410.3,410.99,58566
2022-05-06 17:10:00,410.63,410.63,410.35,410.6,255131
2022-05-06 17:05:00,410.39,410.755,410.39,410.63,4265
2022-05-06 17:00:00,410.91,410.92,410.63,410.66,15943
2022-05-06 16:55:00,410.74,410.9,410.6,410.9,44098
2022-05-06 16:50:00,410.35,411.34,410.32,410.85,233650
2022-05-06 16:45:00,410.44,410.5,410.3,410.36,59405
2022-05-06 16:40:00,410.29,411.34,410.24,410.45,115821
2022-05-06 16:35:00,410.26,410.33,410.17,410.25,59371
2022-05-06 16:30:00,410.1,410.35,410.1,410.31,151067
2022-05-06 16:25:00,410.37,410.45,410.1,410.13,215692
2022-05-06 16:20:00,410.04,410.4,409.82,410.37,171601
2022-05-06 16:15:00,410.48,411.36,409.96,410.02,6865003
2022-05-06 16:10:00,410.31,410.69,410.08,410.48,2496275
2022-05-06 16:05:00,411.51,411.53,410.31,410.31,1493016
2022-05-06 16:00:00,411.39,411.72,410.9,411.38,6080838
2022-05-06 15:55:00,411.91,412.98,411.35,411.385,3125687
2022-05-06 15:50:00,411.11,412.61,410.62,411.91,3372153
2022-05-06 15:45:00,411.85,412.18,410.8,411.091,3618416
2022-05-06 15:40:00,409.57,412.06,409.48,411.8401,4016663
2022-05-06 15:35:00,408.63,409.8317,408.57,409.55,2204779
2022-05-06 15:30:00,407.62,408.94,407.36,408.625,2166428
2022-05-06 15:25:00,408.55,408.61,407.45,407.6037,1545157
2022-05-06 15:20:00,408.14,408.66,407.66,408.53,1481964
2022-05-06 15:15:00,408.125,408.89,408.04,408.17,939201
2022-05-06 15:10:00,409.09,409.44,407.79,408.14,1245087
2022-05-06 15:05:00,408.915,409.28,408.31,409.14,1483222
2022-05-06 15:00:00,410.22,410.64,408.88,408.9399,1340698
2022-05-06 14:55:00,409.32,410.39,409.18,410.215,1585328
2022-05-06 14:50:00,408.04,409.47,407.8,409.31,1231839
2022-05-06 14:45:00,408.23,408.91,407.97,408.03,933764
2022-05-06 14:40:00,408.31,408.76,407.89,408.27,1031655
2022-05-06 14:35:00,408.73,409.2,407.97,408.325,1850876
2022-05-06 14:30:00,409.13,409.25,408.3228,408.77,1563210
2022-05-06 14:25:00,409.36,409.75,408.88,409.15,1257084
2022-05-06 14:20:00,409.47,410.24,409.31,409.38,1195429
2022-05-06 14:15:00,408.65,409.89,408.59,409.47,1201828
2022-05-06 14:10:00,409.84,409.84,408.59,408.63,1299658
