time,open,high,low,close,volume
2022-01-07 20:00:00,466.11,466.11,465.9,465.9,11995
2022-01-07 19:55:00,466.09,466.15,466.09,466.12,3730
2022-01-07 19:50:00,466.13,466.14,466.09,466.14,4366
2022-01-07 19:45:00,466.11,466.11,466.11,466.11,425
2022-01-07 19:40:00,466.15,466.15,466.14,466.14,2081
2022-01-07 19:30:00,466.1,466.1,466.09,466.09,336
2022-01-07 19:25:00,466.1,466.1,466.07,466.07,954
2022-01-07 19:20:00,466.06,466.1,466.06,466.1,629
2022-01-07 19:15:00,466.07,466.07,466.06,466.06,885
2022-01-07 19:10:00,466.08,466.08,466.07,466.07,666
2022-01-07 19:05:00,466.11,466.11,466.08,466.08,617
2022-01-07 19:00:00,466.04,466.0401,466.04,466.0401,599
2022-01-07 18:55:00,466.08,466.08,466.08,466.08,1153
2022-01-07 18:50:00,466.07,466.09,466.07,466.09,5727
2022-01-07 18:40:00,466.02,466.02,466.02,466.02,2298
2022-01-07 18:35:00,466.06,466.09,466.06,466.09,6003
2022-01-07 18:30:00,466.0,466.01,465.94,465.94,1692
2022-01-07 18:25:00,465.95,465.95,465.95,465.95,310
2022-01-07 18:20:00,465.92,465.92,465.92,465.92,301
2022-01-07 18:15:00,466.0,466.0,465.9,465.9,6213
2022-01-07 18:10:00,466.0,466.0,466.0,466.0,316
2022-01-07 18:05:00,465.95,465.95,465.95,465.95,586
2022-01-07 18:00:00,465.9,466.0,465.9,466.0,1038
2022-01-07 17:55:00,466.0,466.0,466.0,466.0,173
2022-01-07 17:50:00,465.96,465.96,465.9,465.9,6416
2022-01-07 17:45:00,465.93,466.0,465.93,466.0,7753
2022-01-07 17:40:00,466.1,466.1,465.93,465.93,22261
2022-01-07 17:35:00,466.12,466.12,466.08,466.09,16385
2022-01-07 17:30:00,466.23,466.33,466.13,466.13,19218
2022-01-07 17:25:00,466.11,466.19,466.09,466.19,10965
2022-01-07 17:20:00,466.1445,466.25,466.09,466.09,5380
2022-01-07 17:15:00,466.01,466.25,466.01,466.25,40163
2022-01-07 17:10:00,465.99,466.01,465.99,466.01,946110
2022-01-07 17:05:00,466.01,466.03,466.01,466.03,3237
2022-01-07 17:00:00,466.0,466.09,465.95,465.99,205580
2022-01-07 16:55:00,466.02,466.09,465.99,466.01,708286
2022-01-07 16:50:00,465.99,466.09,465.97,466.01,58592
2022-01-07 16:45:00,466.01,466.01,465.96,465.99,6476
2022-01-07 16:40:00,466.03,466.07,465.98,465.98,12518
2022-01-07 16:35:00,466.06,466.09,465.98,466.02,202345
2022-01-07 16:30:00,466.18,466.18,466.0,466.07,41056
2022-01-07 16:25:00,466.05,466.19,466.01,466.18,224746
2022-01-07 16:20:00,466.06,466.13,466.0,466.05,271879
2022-01-07 16:15:00,466.49,466.5,466.04,466.08,6963114
2022-01-07 16:10:00,466.46,467.259,466.43,466.45,371913
2022-01-07 16:05:00,466.12,466.51,465.96,466.46,918365
2022-01-07 16:00:00,466.45,466.73,465.92,466.12,3814225
2022-01-07 15:55:00,466.78,467.19,466.36,466.43,1867079
2022-01-07 15:50:00,466.78,467.28,466.59,466.96,1701193
2022-01-07 15:45:00,467.25,467.4,466.7,466.795,1088934
2022-01-07 15:40:00,466.97,467.35,466.8,467.255,1006100
2022-01-07 15:35:00,466.96,467.48,466.7,466.97,1247241
2022-01-07 15:30:00,467.04,467.06,466.65,466.965,1636579
2022-01-07 15:25:00,467.34,467.45,467.02,467.05,572210
2022-01-07 15:20:00,467.14,467.39,467.08,467.34,673074
2022-01-07 15:15:00,467.635,467.65,467.0899,467.17,549827
2022-01-07 15:10:00,467.66,467.98,467.54,467.65,717902
2022-01-07 15:05:00,467.47,467.76,467.44,467.67,581069
2022-01-07 15:00:00,467.58,467.66,467.38,467.47,447730
2022-01-07 14:55:00,467.4,467.73,467.21,467.595,542044
2022-01-07 14:50:00,467.28,467.68,467.11,467.38,727663
2022-01-07 14:45:00,467.1,467.4377,466.93,467.29,675676
2022-01-07 14:40:00,466.5,467.16,466.385,467.1,658514
2022-01-07 14:35:00,466.57,466.67,466.39,466.51,478603
2022-01-07 14:30:00,466.36,466.63,466.1,466.57,1060415
2022-01-07 14:25:00,466.93,466.93,466.33,466.3517,675770
2022-01-07 14:20:00,466.9,467.08,466.82,466.92,633495
2022-01-07 14:15:00,466.92,467.15,466.88,466.9,542587
2022-01-07 14:10:00,466.98,467.12,466.63,466.93,663671
2022-01-07 14:05:00,466.91,467.13,466.87,466.98,710408
2022-01-07 14:00:00,466.96,467.15,466.86,466.91,533166
2022-01-07 13:55:00,466.92,467.1299,466.59,466.96,586069
2022-01-07 13:50:00,467.205,467.205,466.91,466.92,358638
2022-01-07 13:45:00,467.14,467.3,466.98,467.2,342378
2022-01-07 13:40:00,467.37,467.54,467.07,467.14,575891
2022-01-07 13:35:00,467.03,467.38,466.925,467.3799,343178
2022-01-07 13:30:00,467.18,467.27,466.93,467.01,406819
2022-01-07 13:25:00,467.43,467.54,467.13,467.17,418174
2022-01-07 13:20:00,467.46,467.69,467.27,467.42,326379
2022-01-07 13:15:00,467.3916,467.575,467.34,467.47,363920
2022-01-07 13:10:00,467.24,467.53,467.16,467.4,342806
2022-01-07 13:05:00,467.26,467.42,466.79,467.26,627928
2022-01-07 13:00:00,467.12,467.29,466.94,467.26,940909
2022-01-07 12:55:00,466.86,467.24,466.8365,467.115,278516
2022-01-07 12:50:00,466.86,467.43,466.69,466.86,455367
2022-01-07 12:45:00,466.77,467.0499,466.69,466.85,639429
2022-01-07 12:40:00,466.96,466.98,466.47,466.775,496848
2022-01-07 12:35:00,467.08,467.09,466.79,466.95,345412
2022-01-07 12:30:00,466.95,467.185,466.77,467.08,440254
2022-01-07 12:25:00,467.21,467.2177,466.88,466.96,918722
2022-01-07 12:20:00,467.64,467.79,467.15,467.21,403727
2022-01-07 12:15:00,467.44,467.7399,467.31,467.64,888512
2022-01-07 12:10:00,467.29,467.58,467.12,467.44,391100
2022-01-07 12:05:00,467.66,467.81,467.21,467.28,710379
2022-01-07 12:00:00,468.02,468.09,467.6,467.6574,861039
2022-01-07 11:55:00,467.505,468.025,467.39,468.025,3575446
2022-01-07 11:50:00,466.57,467.52,466.47,467.5,808000
2022-01-07 11:45:00,466.43,466.8216,466.34,466.56,626025
2022-01-07 11:40:00,466.37,466.68,466.17,466.45,960623
2022-01-07 11:35:00,466.44,466.57,466.08,466.37,713178
2022-01-07 11:30:00,465.83,466.5376,465.63,466.45,788664
2022-01-07 11:25:00,465.0,465.965,464.95,465.825,1143956
2022-01-07 11:20:00,465.38,465.57,464.685,465.0,1297277
2022-01-07 11:15:00,465.58,465.6399,465.19,465.405,1068914
2022-01-07 11:10:00,465.23,465.86,465.21,465.585,750911
2022-01-07 11:05:00,465.27,465.83,464.99,465.27,1114473
2022-01-07 11:00:00,465.11,465.72,464.89,465.25,1403552
2022-01-07 10:55:00,465.51,465.65,464.65,465.11,1823504
2022-01-07 10:50:00,466.02,466.05,465.5,465.505,981610
2022-01-07 10:45:00,466.27,466.89,465.875,466.02,1139145
2022-01-07 10:40:00,466.9,467.0,466.24,466.26,1099988
2022-01-07 10:35:00,467.005,467.35,466.77,466.92,726794
2022-01-07 10:30:00,466.85,467.46,466.81,467.0,731312
2022-01-07 10:25:00,467.2,467.49,466.81,466.84,1005732
2022-01-07 10:20:00,467.7,467.71,467.06,467.19,918291
2022-01-07 10:15:00,467.55,468.06,467.34,467.7,836977
2022-01-07 10:10:00,468.28,468.28,467.54,467.55,800556
2022-01-07 10:05:00,468.65,468.78,468.25,468.27,607938
2022-01-07 10:00:00,468.81,469.2,468.56,468.64,996378
2022-01-07 09:55:00,468.44,468.99,468.31,468.79,963597
2022-01-07 09:50:00,468.58,469.11,468.27,468.44,1862758
2022-01-07 09:45:00,467.64,468.75,467.25,468.58,1762440
2022-01-07 09:40:00,467.185,467.72,466.73,467.63,1783862
2022-01-07 09:35:00,467.95,468.35,467.12,467.2,2182422
2022-01-07 09:30:00,467.73,467.97,467.58,467.95,71268
2022-01-07 09:25:00,467.78,467.84,467.63,467.74,37211
2022-01-07 09:20:00,467.7,467.85,467.6,467.75,74776
2022-01-07 09:15:00,467.58,467.68,467.18,467.65,80044
2022-01-07 09:10:00,467.2,467.57,467.2,467.56,30968
2022-01-07 09:05:00,466.99,467.35,466.99,467.1496,98176
2022-01-07 09:00:00,466.79,467.12,466.62,466.98,44422
2022-01-07 08:55:00,467.32,467.33,466.54,466.67,119137
2022-01-07 08:50:00,466.88,467.44,466.88,467.34,177902
2022-01-07 08:45:00,466.43,466.89,466.27,466.85,191920
2022-01-07 08:40:00,467.7899,467.86,466.42,466.45,366414
2022-01-07 08:35:00,468.5,469.3,467.58,467.71,359896
2022-01-07 08:30:00,468.3,468.45,468.2,468.34,43391
2022-01-07 08:25:00,468.23,468.31,468.1,468.26,14775
2022-01-07 08:20:00,468.44,468.45,468.19,468.22,20773
2022-01-07 08:15:00,468.39,468.49,468.32,468.32,13688
2022-01-07 08:10:00,468.38,468.6,468.3,468.42,15317
2022-01-07 08:05:00,468.29,469.1996,467.51,468.35,18727
2022-01-07 08:00:00,468.57,468.57,468.23,468.33,13858
2022-01-07 07:55:00,468.6,468.71,468.6,468.62,7632
2022-01-07 07:50:00,468.48,468.68,468.44,468.61,15830
