time,open,high,low,close,volume
2021-02-12 20:00:00,393.1,393.2,393.1,393.1,4425
2021-02-12 19:55:00,393.09,393.1,393.03,393.1,1351
2021-02-12 19:50:00,393.08,393.12,393.01,393.05,3405
2021-02-12 19:45:00,393.06,393.15,392.99,393.15,3098
2021-02-12 19:40:00,393.05,393.13,393.01,393.12,2890
2021-02-12 19:35:00,393.03,393.03,393.0,393.0,1004
2021-02-12 19:30:00,393.04,393.04,393.03,393.03,1685
2021-02-12 19:25:00,393.02,393.04,393.02,393.04,363
2021-02-12 19:20:00,393.02,393.04,393.0,393.04,2707
2021-02-12 19:15:00,393.02,393.05,392.98,392.98,1571
2021-02-12 19:10:00,393.05,393.05,393.05,393.05,100
2021-02-12 19:05:00,393.1,393.1,393.08,393.08,579
2021-02-12 19:00:00,393.08,393.1,393.08,393.08,556
2021-02-12 18:55:00,393.08,393.08,393.08,393.08,110
2021-02-12 18:50:00,393.05,393.05,393.05,393.05,239
2021-02-12 18:45:00,392.99,393.02,392.99,393.02,733
2021-02-12 18:40:00,392.96,392.96,392.96,392.96,498
2021-02-12 18:35:00,392.93,392.93,392.93,392.93,210
2021-02-12 18:30:00,393.0,393.0,392.88,392.96,1412
2021-02-12 18:25:00,392.84,393.05,392.73,393.05,13657
2021-02-12 18:20:00,392.91,392.92,392.78,392.78,34980
2021-02-12 18:15:00,392.96,393.1,392.92,392.92,11554
2021-02-12 18:10:00,392.98,392.98,392.96,392.96,6253
2021-02-12 18:05:00,393.01,393.03,392.99,392.99,50990
2021-02-12 18:00:00,393.06,393.06,393.01,393.01,72763
2021-02-12 17:55:00,393.06,393.08,393.06,393.06,7356
2021-02-12 17:50:00,393.09,393.1,393.09,393.1,21314
2021-02-12 17:45:00,393.1,393.11,393.09,393.1,18685
2021-02-12 17:40:00,393.08,393.1,393.08,393.1,16047
2021-02-12 17:35:00,393.0601,393.09,393.0601,393.08,13417
2021-02-12 17:30:00,393.0701,393.1,393.07,393.07,8797
2021-02-12 17:25:00,393.1,393.13,393.07,393.1,29123
2021-02-12 17:20:00,393.09,393.11,393.05,393.1,31350
2021-02-12 17:15:00,393.1,393.11,393.05,393.08,18498
2021-02-12 17:10:00,393.15,393.16,392.64,393.11,519140
