time,open,high,low,close,volume
2022-07-07 20:00:00,388.25,388.26,388.16,388.16,7651
2022-07-07 19:55:00,388.25,388.32,388.22,388.2396,4006
2022-07-07 19:50:00,388.19,388.3,388.18,388.3,5739
2022-07-07 19:45:00,388.23,388.38,388.08,388.3,6044
2022-07-07 19:40:00,388.28,388.3,388.28,388.28,2134
2022-07-07 19:35:00,388.17,388.19,387.7,388.19,27055
2022-07-07 19:30:00,388.2,388.24,388.2,388.24,1124
2022-07-07 19:25:00,388.1,388.17,388.1,388.17,1910
2022-07-07 19:20:00,388.24,388.25,388.12,388.12,3870
2022-07-07 19:15:00,388.06,388.19,388.05,388.19,1131
2022-07-07 19:10:00,388.38,388.38,388.03,388.03,4561
2022-07-07 19:05:00,388.45,388.49,388.32,388.4,10126
2022-07-07 19:00:00,388.32,388.49,388.32,388.49,7187
2022-07-07 18:55:00,388.36,388.36,388.35,388.36,2955
2022-07-07 18:50:00,388.2,388.32,388.16,388.3,4886
2022-07-07 18:45:00,388.2,388.23,388.16,388.19,5405
2022-07-07 18:40:00,388.3,388.31,388.22,388.22,2363
2022-07-07 18:35:00,388.47,388.47,388.3,388.3,9375
2022-07-07 18:30:00,388.49,388.49,388.45,388.45,3400
2022-07-07 18:25:00,388.45,388.5,388.4,388.5,11040
2022-07-07 18:20:00,388.48,388.51,388.42,388.46,4395
2022-07-07 18:15:00,388.51,388.51,388.44,388.44,11581
2022-07-07 18:10:00,388.42,388.52,388.42,388.48,42526
2022-07-07 18:05:00,388.15,388.42,388.15,388.41,31295
2022-07-07 18:00:00,388.31,388.33,388.15,388.15,25459
2022-07-07 17:55:00,388.42,388.42,388.36,388.42,2145
2022-07-07 17:50:00,388.44,388.5,388.42,388.47,4610
2022-07-07 17:45:00,388.46,388.49,388.38,388.41,2560
2022-07-07 17:40:00,388.5,388.54,388.45,388.45,8210
2022-07-07 17:35:00,388.45,388.6,388.45,388.55,22232
2022-07-07 17:30:00,388.42,388.5,388.4,388.5,11958
2022-07-07 17:25:00,388.24,388.47,388.2,388.45,57586
2022-07-07 17:20:00,388.19,388.2,388.15,388.18,3239
2022-07-07 17:15:00,388.15,388.21,388.1,388.19,4366
2022-07-07 17:10:00,388.11,388.25,388.11,388.25,1406
2022-07-07 17:05:00,388.31,388.35,388.07,388.15,103830
2022-07-07 17:00:00,388.36,388.43,388.36,388.38,52566
2022-07-07 16:55:00,388.3,388.38,388.3,388.38,844
2022-07-07 16:50:00,388.4,388.45,388.32,388.32,11690
2022-07-07 16:45:00,388.4,388.45,388.39,388.39,8136
2022-07-07 16:40:00,388.38,388.99,388.37,388.42,118100
2022-07-07 16:35:00,388.4,388.5299,388.37,388.38,7338
2022-07-07 16:30:00,388.36,388.46,388.36,388.42,26150
2022-07-07 16:25:00,388.37,388.99,388.33,388.99,18778
2022-07-07 16:20:00,388.52,388.52,388.3,388.37,70860
2022-07-07 16:15:00,388.6,388.84,388.45,388.48,3930773
2022-07-07 16:10:00,388.61,388.76,388.58,388.62,386148
2022-07-07 16:05:00,388.88,388.99,388.58,388.6,1541019
2022-07-07 16:00:00,388.91,389.2878,388.74,388.94,4499197
2022-07-07 15:55:00,389.03,389.32,388.57,388.92,2257601
2022-07-07 15:50:00,388.78,389.13,388.6,389.0,1431798
2022-07-07 15:45:00,388.74,389.09,388.675,388.79,1428086
2022-07-07 15:40:00,389.32,389.55,388.66,388.74,1142638
2022-07-07 15:35:00,389.05,389.44,389.0131,389.32,771921
2022-07-07 15:30:00,389.355,389.47,389.01,389.04,1384891
2022-07-07 15:25:00,389.65,389.83,389.35,389.36,627869
2022-07-07 15:20:00,389.5499,389.77,389.5,389.6326,908271
2022-07-07 15:15:00,389.2,389.57,389.1,389.54,660662
2022-07-07 15:10:00,389.04,389.265,388.96,389.2,822634
2022-07-07 15:05:00,388.88,389.07,388.78,389.04,586841
2022-07-07 15:00:00,388.54,388.92,388.535,388.8615,379573
2022-07-07 14:55:00,388.685,388.7,388.47,388.53,301201
2022-07-07 14:50:00,388.4,388.71,388.375,388.68,417103
2022-07-07 14:45:00,388.76,388.79,388.33,388.4099,692251
2022-07-07 14:40:00,388.6499,388.81,388.36,388.75,627619
2022-07-07 14:35:00,388.96,388.96,388.63,388.64,433335
2022-07-07 14:30:00,388.87,388.97,388.81,388.955,448162
2022-07-07 14:25:00,388.7499,388.95,388.72,388.88,441119
2022-07-07 14:20:00,388.74,388.77,388.57,388.75,425291
2022-07-07 14:15:00,388.66,388.85,388.56,388.7419,511801
2022-07-07 14:10:00,388.5354,388.78,388.5,388.67,437504
2022-07-07 14:05:00,388.42,388.77,388.36,388.55,1015771
2022-07-07 14:00:00,388.33,388.49,388.31,388.42,612937
2022-07-07 13:55:00,388.16,388.35,388.11,388.34,229761
2022-07-07 13:50:00,388.1401,388.32,388.11,388.1681,390076
2022-07-07 13:45:00,387.912,388.1506,387.9,388.15,302740
2022-07-07 13:40:00,387.81,387.97,387.7505,387.9118,240615
2022-07-07 13:35:00,387.49,387.86,387.34,387.815,363990
2022-07-07 13:30:00,387.64,387.69,387.445,387.49,277671
2022-07-07 13:25:00,387.7,387.78,387.54,387.65,212361
2022-07-07 13:20:00,387.525,387.72,387.465,387.6801,350874
2022-07-07 13:15:00,387.93,387.935,387.4201,387.525,641422
2022-07-07 13:10:00,387.855,388.03,387.65,387.93,446287
2022-07-07 13:05:00,388.05,388.22,387.815,387.89,469560
2022-07-07 13:00:00,387.83,388.08,387.68,388.04,382995
2022-07-07 12:55:00,387.86,388.06,387.7,387.8568,680806
2022-07-07 12:50:00,388.02,388.26,387.86,387.87,663479
2022-07-07 12:45:00,388.095,388.28,388.02,388.02,575996
2022-07-07 12:40:00,388.27,388.4,388.05,388.1001,483553
2022-07-07 12:35:00,388.0,388.28,387.86,388.2699,577334
2022-07-07 12:30:00,387.945,388.11,387.84,388.0,284608
2022-07-07 12:25:00,388.01,388.025,387.76,387.95,443518
2022-07-07 12:20:00,387.83,388.04,387.69,388.01,585148
2022-07-07 12:15:00,387.88,388.02,387.65,387.84,311609
2022-07-07 12:10:00,387.97,388.08,387.725,387.87,425217
2022-07-07 12:05:00,387.885,387.99,387.77,387.9776,595965
2022-07-07 12:00:00,387.58,387.887,387.49,387.885,433901
2022-07-07 11:55:00,387.78,388.02,387.432,387.5799,439550
2022-07-07 11:50:00,387.54,387.8225,387.49,387.7644,273238
2022-07-07 11:45:00,387.33,387.75,387.2428,387.54,305873
2022-07-07 11:40:00,387.3499,387.52,387.16,387.32,313091
2022-07-07 11:35:00,387.1484,387.38,386.98,387.35,414793
2022-07-07 11:30:00,387.33,387.67,387.13,387.13,360040
2022-07-07 11:25:00,387.575,387.82,387.03,387.31,671868
2022-07-07 11:20:00,387.58,387.88,387.535,387.57,374890
2022-07-07 11:15:00,387.77,387.8,387.53,387.58,403650
2022-07-07 11:10:00,387.85,388.25,387.7501,387.77,916596
2022-07-07 11:05:00,387.37,387.89,387.28,387.8381,610600
2022-07-07 11:00:00,387.75,387.795,387.31,387.38,729872
2022-07-07 10:55:00,387.27,387.83,383.267,387.76,1860378
2022-07-07 10:50:00,386.8,387.36,386.56,387.28,617162
2022-07-07 10:45:00,386.93,387.08,386.6601,386.79,454013
2022-07-07 10:40:00,387.13,387.25,386.755,386.91,512516
2022-07-07 10:35:00,386.87,387.2101,386.765,387.145,563521
2022-07-07 10:30:00,386.45,386.87,386.41,386.8601,503576
2022-07-07 10:25:00,386.26,386.49,386.12,386.46,576866
2022-07-07 10:20:00,386.62,386.9,386.14,386.265,699476
2022-07-07 10:15:00,386.57,386.85,386.27,386.6199,805143
2022-07-07 10:10:00,386.46,386.65,386.06,386.5682,920522
2022-07-07 10:05:00,387.39,387.4,386.1,386.46,1028569
2022-07-07 10:00:00,387.4,387.4693,387.11,387.385,608430
2022-07-07 09:55:00,387.48,387.6,386.9,387.416,880590
2022-07-07 09:50:00,387.05,387.58,386.8,387.48,1064244
2022-07-07 09:45:00,386.68,387.27,386.53,387.05,894465
2022-07-07 09:40:00,386.47,387.08,386.27,386.68,1497509
2022-07-07 09:35:00,385.12,386.51,385.12,386.4599,1839995
2022-07-07 09:30:00,384.95,385.25,384.95,385.14,123204
2022-07-07 09:25:00,384.85,384.91,384.75,384.88,50241
2022-07-07 09:20:00,385.14,385.14,384.85,384.93,34572
2022-07-07 09:15:00,384.99,385.2,384.98,385.17,15261
2022-07-07 09:10:00,385.16,385.23,384.91,385.01,17141
2022-07-07 09:05:00,384.93,385.36,384.92,385.2,117505
2022-07-07 09:00:00,385.2,385.25,384.95,384.95,32455
2022-07-07 08:55:00,384.96,385.2,384.96,385.17,11017
2022-07-07 08:50:00,384.92,385.2,384.67,384.83,43690
2022-07-07 08:45:00,384.54,384.97,384.52,384.94,17827
2022-07-07 08:40:00,384.45,384.65,384.45,384.56,6347
2022-07-07 08:35:00,384.54,384.84,384.22,384.37,21116
2022-07-07 08:30:00,384.56,384.73,384.49,384.53,14828
2022-07-07 08:25:00,384.38,384.8,384.38,384.56,51242
2022-07-07 08:20:00,384.73,384.84,384.33,384.33,77301
2022-07-07 08:15:00,384.88,384.97,384.75,384.76,22474
2022-07-07 08:10:00,384.83,384.94,384.78,384.86,30086
2022-07-07 08:05:00,384.05,385.07,383.88,384.82,88748
2022-07-07 08:00:00,384.72,384.95,384.68,384.92,16135
2022-07-07 07:55:00,384.53,384.7,384.45,384.66,14495
2022-07-07 07:50:00,384.63,384.67,384.4,384.53,16908
2022-07-07 07:45:00,384.38,384.64,384.37,384.6,80531
2022-07-07 07:40:00,384.34,384.43,384.29,384.38,11338
2022-07-07 07:35:00,383.92,384.35,383.92,384.33,34531
2022-07-07 07:30:00,383.93,384.12,383.93,383.96,10539
2022-07-07 07:25:00,384.23,384.24,383.87,383.91,13942
2022-07-07 07:20:00,384.18,384.25,384.13,384.25,10640
2022-07-07 07:15:00,384.2,384.26,384.14,384.25,10457
2022-07-07 07:10:00,384.25,384.29,384.14,384.14,5931
2022-07-07 07:05:00,384.42,384.44,384.28,384.29,9674
2022-07-07 07:00:00,384.29,384.44,384.06,384.44,10498
2022-07-07 06:55:00,384.34,384.34,384.25,384.26,1750
2022-07-07 06:50:00,384.36,384.39,384.36,384.36,796
2022-07-07 06:45:00,384.35,384.35,384.24,384.25,10614
2022-07-07 06:40:00,384.28,384.31,384.11,384.12,4991
2022-07-07 06:35:00,384.15,384.26,384.15,384.25,2463
2022-07-07 06:30:00,383.98,384.02,383.91,384.02,1678
2022-07-07 06:25:00,383.51,383.95,383.43,383.94,6975
2022-07-07 06:20:00,384.14,384.14,383.61,383.71,3166
2022-07-07 06:15:00,383.93,383.93,383.93,383.93,601
2022-07-07 06:10:00,383.96,384.08,383.9,383.9,857
2022-07-07 06:05:00,383.98,384.09,383.98,384.09,746
2022-07-07 06:00:00,384.14,384.14,383.95,383.95,1611
2022-07-07 05:55:00,384.12,384.28,384.05,384.15,2702
2022-07-07 05:50:00,384.23,384.23,384.23,384.23,154
2022-07-07 05:45:00,384.48,384.48,384.45,384.45,530
2022-07-07 05:40:00,384.46,384.65,384.4,384.4,977
2022-07-07 05:35:00,384.35,384.4,384.21,384.4,1545
2022-07-07 05:30:00,384.48,384.48,384.34,384.34,656
2022-07-07 05:25:00,384.81,384.81,384.42,384.42,1602
2022-07-07 05:20:00,384.63,384.75,384.56,384.75,4569
2022-07-07 05:15:00,384.5,384.63,384.19,384.2,718
2022-07-07 05:10:00,384.21,384.45,384.05,384.34,10409
2022-07-07 05:05:00,384.07,384.8,384.02,384.29,18161
2022-07-07 05:00:00,384.09,385.16,383.92,384.35,15191
2022-07-07 04:55:00,384.19,384.23,384.17,384.23,1581
2022-07-07 04:50:00,384.17,384.17,383.95,383.96,4247
2022-07-07 04:45:00,384.45,384.45,384.02,384.02,12193
2022-07-07 04:40:00,384.86,384.86,384.38,384.46,1311
2022-07-07 04:35:00,384.77,384.77,384.77,384.77,194
2022-07-07 04:30:00,384.8,384.8,384.74,384.74,421
